"Section Heading","Box number","Box name","API","Endpoint","Path",""
"Your Personal Details","YPD1","Your date of birth","Not available","","",""
"Your Personal Details","YPD2","Your name and address","Not available","","",""
"Your Personal Details","YPD3","Your phone number","Not available","","",""
"Your Personal Details","YPD4","Your National Insurance number","Not available","","",""
"What Makes Up your tax Return?","YTR1.1A","Were you an employee, director, office holder or agency worker in the year to 5 April 2023","Not available","","",""
"What Makes Up your tax Return?","YTR1.1B","How many 'Employment' pages you are completing","Not available","","",""
"What Makes Up your tax Return?","YTR2.2A","If you worked for yourself (on your 'own account' or in self-employment) in the year to 5 April 2023","Not available","","",""
"What Makes Up your tax Return?","YTR2.2B","How many businesses you had","Not available","","",""
"What Makes Up your tax Return?","YTR3.3A","Were you in a partnership?","Not available","","",""
"What Makes Up your tax Return?","YTR3.3B","How many partnerships you had","Not available","","",""
"What Makes Up your tax Return?","YTR4.4A","Do you need to fill in the 'UK property' pages","Not available","","",""
"What Makes Up your tax Return?","YTR5.5A","Do you need to fill in the 'Foreign' pages?","Not available","","",""
"What Makes Up your tax Return?","YTR6.6A","Did you receive, or are you treated as having received, income from a trust, settlement or the residue of a deceased person's estate?","Not available","","",""
"What Makes Up your tax Return?","YTR7.7A","Do you need to fill in the 'Capital Gains Tax summary' page","Not available","","",""
"What Makes Up your tax Return?","YTR7.7B","Provide computations","Not available","","",""
"What Makes Up your tax Return?","YTR8.8A","Were you, for all or part of the year to 5 April 2023, one or more of the following: not resident, not domiciled in the UK and claiming the remittance basis or dual resident in the UK and another country?","Not available","","",""
"What Makes Up your tax Return?","YTR9.9A","Do you need to fill in the 'Additional information' pages?","Not available","","",""
"What Makes Up your tax Return?","YTR9.9A","Do you need to get and fill in separate supplementary pages","Not available","","",""
"Income (Interest & divs from UK banks etc)","INC1","Taxed UK interest - the net amount after tax has been taken off","Individuals Savings Income","Add a UK Savings Account","accountName",""
"Income (Interest & divs from UK banks etc)","INC1","Taxed UK interest - the net amount after tax has been taken off","Individuals Savings Income","Create and Amend a UK Savings Account Annual Summary","taxedUkInterest",""
"Income (Interest & divs from UK banks etc)","INC2","Untaxed UK interest - amounts which have not had tax taken off","Individuals Savings Income","Create and Amend a UK Savings Account Annual Summary","untaxedUkInterest",""
"Income (Interest & divs from UK banks etc)","INC3","Untaxed foreign interest (up to GBP2,000) - amounts which have not had tax taken off","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > amountBeforeTax",""
"Income (Interest & divs from UK banks etc)","INC4","Dividends from UK companies - the amount received","Individuals Dividends Income","Create and Amend a UK Dividends Income Annual Summary","ukDividends",""
"Income (Interest & divs from UK banks etc)","INC5","Other dividends - the amount received","Individuals Dividends Income","Create and Amend a UK Dividends Income Annual Summary","otherUkDividends",""
"Income (Interest & divs from UK banks etc)","INC6","Foreign dividends (up to GBP2,000) - the amount in sterling after foreign tax was taken off. Do not include this amount in the 'Foreign' pages","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > taxableAmount",""
"Income (Interest & divs from UK banks etc)","INC7","Tax taken off foreign dividends - the sterling equivalent","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > taxTakenOff",""
"Income (UK Pension, annuities etc)","INC8","State Pension - amount you were entitled to receive in the year, not the weekly or 4-weekly amount","Individuals State Benefits","Create State Benefit","benefitType  > statePension",""
