"Section Heading","HMRC Box Ref","Box number","Box name","API","Endpoint","Path"
"Personal Details","FSE0 SSE0","0","Your name","Not available","",""
"Personal Details","","0","Your Unique Taxpayer Reference (UTR)","Not available","",""
"Business Details","FSE1","1","Business name - unless it's in your own name","Not available","",""
"Business Details","FSE2 SSE1","2","Description of business","Not available","",""
"Business Details","FSE3","3","First line of your business address - unless you work from home","Not available","",""
"Business Details","FSE4 SSE2","4","Postcode of your business address","Not available","",""
"Business Details","FSE5 SSE3","5","If the details in boxes 1, 2, 3 or 4 have changed in the last 12 months, put 'X' in the box and give details in the 'Any other information' box","Not available","",""
"Business Details","FSE6 SSE5","6","If your business started after 5 April 2022, enter the start date","Not available","",""
"Business Details","FSE7 SSE6","7","If your business ceased after 5 April 2022 but before 6 April 2023, enter the final date of trading","Not available","",""
"Business Details","FSE8","8","Date your books or accounts start - the beginning of your accounting period","Not available","",""
"Business Details","FSE9 SSE7","9","Date your books or accounts are made up to or the end of your accounting period - read the notes if you have filled in box 6 or 7","Not available","",""
"Business Details","FSE10 SSE8","10","If you used cash basis, money actually received and paid out, to calculate your income and expenses, put 'X' in the box","Not available","",""
"Business Details","","11","Not in use","-","",""
"Business Details","","12","Not in use","-","",""
"Other Information","FSE13","13","If special arrangements apply, put 'X' in the box","Not available","",""
"Other Information","FSE14","14","If you provided the information about your 2022-23 profit on last year's tax return, put 'X' in the box","Not Available","",""
"Business Income","FSE15 SSE9","15","Your turnover - the takings, fees, sales or money earned by your business","Self Employment Business","Create a Self-Employment Period Summary","periodIncome > turnover"
"Business Income","FSE16 SSE10","16","Any other business income not included in box 15 - also include any COVID support payments such as CJRS","Self Employment Business","Create a Self-Employment Period Summary","periodIncome > other"
"Business Income","FSE16.1 SSE10.1","16.1","Trading income allowance","Self Employment Business","Create and Amend Self-Employment Annual Submission","allowances > tradingIncomeAllowance"
"Business Expenses (total expenses)","FSE17 SSE11","17","Cost of goods bought for resale or goods used","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > costOfGoods"
"Business Expenses (total expenses)","FSE18","18","Construction industry - payments to subcontractors","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > paymentsToSubcontractors"
"Business Expenses (total expenses)","FSE19 SSE13","19","Wages, salaries and other staff costs","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > wagesAndStaffCosts"
"Business Expenses (total expenses)","FSE20 SSE12","20","Car, van and travel expenses","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > carVanTravelExpenses"
"Business Expenses (total expenses)","FSE21 SSE14","21","Rent, rates, power and insurance costs","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > premisesRunningCosts"
"Business Expenses (total expenses)","FSE22 SSE15","22","Repairs and maintenance of property and equipment","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > maintenanceCosts"
"Business Expenses (total expenses)","FSE23 SSE18","23","Phone, fax, stationery and other office costs","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > adminCosts"
"Business Expenses (total expenses)","FSE24","24","Advertising and business entertainment costs","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > advertisingCosts periodExpenses > businessEntertainmentCosts"
"Business Expenses (total expenses)","FSE25 SSE17","25","Interest on bank and other loans","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > interestOnBankOtherLoans"
"Business Expenses (total expenses)","FSE26","26","Bank, credit card and other financial charges","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > financeCharges"
"Business Expenses (total expenses)","FSE27","27","Irrecoverable debts written off","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > irrecoverableDebts"
"Business Expenses (total expenses)","FSE28 SSE16","28","Accountancy, legal and other professional fees","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > professionalFees"
"Business Expenses (total expenses)","FSE29","29","Depreciation and loss or profit on sale of assets","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > depreciation"
"Business Expenses (total expenses)","FSE30 SSE19","30","Other business expense","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > otherExpenses"
"Business Expenses (total expenses)","FSE31 SSE20","31","Total expenses","Calculated by HMRC if full expenses used. If Consolidated Expenses see row below","",""
"Business Expenses (total expenses)","FSE31 SSE20","31","Total expenses","Self Employment Business","Create a Self-Employment Period Summary","periodExpenses > consolidatedExpenses"
"Business Expenses (total expenses)","FSE32","32","Cost of goods bought for resale or goods used","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > costOfGoodsDisallowable"
"Business Expenses (disallowable expenses)","FSE33","33","Construction industry - payments to subcontractors","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > paymentsToSubcontractorsDisallowable"
"Business Expenses (disallowable expenses)","FSE34","34","Wages, salaries and other staff costs","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > wagesAndStaffCostsDisallowable"
"Business Expenses (disallowable expenses)","FSE35","35","Car, van and travel expenses","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > carVanTravelExpensesDisallowable"
"Business Expenses (disallowable expenses)","FSE36","36","Rent, rates, power and insurance costs","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > premisesRunningCostsDisallowable"
"Business Expenses (disallowable expenses)","FSE37","37","Repairs and maintenance of property and equipment","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > maintenanceCostsDisallowable"
"Business Expenses (disallowable expenses)","FSE38","38","Phone, fax, stationery and other office costs","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > adminCostsDisallowable"
"Business Expenses (disallowable expenses)","FSE39","39","Advertising and business entertainment costs","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > advertisingCostsDisallowable periodDisallowableExpenses > businessEntertainmentCostsDisallowable"
"Business Expenses (disallowable expenses)","FSE40","40","Interest on bank and other loans","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > interestOnBankOtherLoansDisallowable"
"Business Expenses (disallowable expenses)","FSE41","41","Bank, credit card and other financial charges","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > financeChargesDisallowable"
"Business Expenses (disallowable expenses)","FSE42","42","Irrecoverable debts written off","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > irrecoverableDebtsDisallowable"
"Business Expenses (disallowable expenses)","FSE43","43","Accountancy, legal and other professional fees","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > professionalFeesDisallowable"
"Business Expenses (disallowable expenses)","FSE44","44","Depreciation and loss or profit on sale of assets","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > depreciationDisallowable"
"Business Expenses (disallowable expenses)","FSE45","45","Other business expense","Self Employment Business","Create a Self-Employment Period Summary","periodDisallowableExpenses > otherExpensesDisallowable"
"Business Expenses (disallowable expenses)","FSE46","46","Total disallowable expenses","Not available. Calculated by HMRC","",""
"Net Profit or Loss","FSE47 SSE21","47","Net profit - if your business income is more than your expenses","Not available. Calculated by HMRC","",""
"Net Profit or Loss","FSE48 SSE22","48","Or, net loss - if your expenses are more than your business income","Not available. Calculated by HMRC","",""
"Tax (capital) Allowances","FSE49 SSE23","49","Annual Investment Allowance","Self Employment Business","Create and Amend Self-Employment Annual Submission","allowances > annualInvestmentAllowance"
