"Section Heading","Box number","Box name","Endpoint","Path"
"Partnership details","FPS1","Partnership reference number","Create or Amend Partner Income","partnershipUtr"
"Partnership details","FPS2","Description of partnership trade or profession","Create or Amend Partner Income","partnershipTrades > tradeDescription"
"Partnership details","FPS3","Did you become a partner in this partnership after 5 April 2025? You must put ‘X’ in one box","","HMRC derived from startDate"
"Partnership details","FPS4","If you answered ‘Yes’ in box 3Q, enter the date you became a partner DD MM YYYY","Create or Amend Partner Income","startDate"
"Your share of the partnership’s trading or professional profits","FPS5","Did you cease being a partner in this partnership after 5 April 2025 but before 6 April 2026? You must put ‘X’ in one box","","HMRC derived from endDate"
"Your share of the partnership’s trading or professional profits","FPS6","If you answered ‘Yes’ in box 4Q enter the date you left this partnership DD MM YYYY","Create or Amend Partner Income","endDate"
"Your share of the partnership’s trading or professional profits","BOX 5 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","BOX 6 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","BOX 7 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","FPS8","Your share of the partnership’s profit or loss – from box 11 or box 12 on the Partnership Statement","Create or Amend Partner Income","tradingOrProfessionalProfits > shareOfProfitOrLoss"
"Your share of the partnership’s trading or professional profits","FPS9","Adjustment where the partnership’s accounting period ended before 31 March 2026 or where the partnership’s accounting period was not 12 months long","Create or Amend Partner Income","tradingOrProfessionalProfits > basisAdjustment"
"Your share of the partnership’s trading or professional profits","FPS10","Adjustment for change of accounting practice – from box 11A on the Partnership Statement","Create or Amend Partner Income","tradingOrProfessionalProfits > accountingAdjustment"
"Your share of the partnership’s trading or professional profits","FPS12","Foreign tax claimed as a deduction – only if Foreign Tax Credit Relief is not being claimed on the ‘Foreign’ pages","Create or Amend Partner Income","tradingOrProfessionalProfits > foreignTaxClaimedDeduction"
"Your share of the partnership’s trading or professional profits","BOX 13 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","BOX 14 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","BOX 15 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","FPS16","Adjusted profit for 2025–26 – see the working sheet in the notes","Create or Amend Partner Income","tradingOrProfessionalProfits > adjustedProfit"
"Your share of the partnership’s trading or professional profits","BOX 16.1 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","BOX 16.2 NOT IN USE","","",""
"Your share of the partnership’s trading or professional profits","FPS16.3","Spread of the transition profit treated as arising in this tax year – read the notes","Create or Amend Partner Income","tradingOrProfessionalProfits > transitionProfitArisingThisYear"
"Your share of the partnership’s trading or professional profits","FPS16.4","Loss brought forward from earlier years set off against this year’s spread of the transition profit (up to the amount in box 16.3)","Create or Amend Partner Income","tradingOrProfessionalProfits > lossesBroughtForwardTransitionProfit"
"Your share of the partnership’s trading or professional profits","FPS16.5","Losses brought forward from earlier years set off against this year’s adjusted profit","Create or Amend Partner Income","tradingOrProfessionalProfits > lossesBroughtForwardAdjustedProfit"
"Your share of the partnership’s trading or professional profits","FPS16.6","Taxable profits after losses brought forward – do not include the amount in box 16.3","Create or Amend Partner Income","tradingOrProfessionalProfits > profitAfterBroughtForwardLosses"
"Your share of the partnership’s trading or professional profits","FPS16.7","Any other business income not included in the partnership accounts","Create or Amend Partner Income","tradingOrProfessionalProfits > otherBusinessIncome"
"Your share of the partnership’s trading or professional profits","FPS16.8","Your share of the total taxable profits from the partnership’s business for 2025–26","Create or Amend Partner Income","tradingOrProfessionalProfits > shareOfTaxableProfit"
"Your share of the partnership’s trading or professional profits","FPS16.9","Amount claimed under the foreign income and gains (FIG) regime","Not available","Not available"
"Your share of the partnership’s trading or professional losses","FPS16.10","Adjusted loss for 2025–26 – see the working sheet in the notes","Create or Amend Partner Income","tradingOrProfessionalLosses > adjustedLoss"
"Your share of the partnership’s trading or professional losses","FPS16.11","Adjustment to losses as a result of a claim under the foreign income and gains (FIG) regime","Not available","Not available"
"Your share of the partnership’s trading or professional losses","FPS16.12","Loss from this tax year set off against other income for 2025–26","Create or Amend Partner Income","tradingOrProfessionalLosses > 	currentYearLossAppliedToGeneralIncome"
"Your share of the partnership’s trading or professional losses","FPS16.13","Loss to be carried back to previous years and set off against income (or capital gains)","Create or Amend Partner Income","tradingOrProfessionalLosses > lossesCarriedBack"
"Your share of the partnership’s trading or professional losses","FPS16.14","Total loss to carry forward after all other set-offs – including unused losses brought forward","Create or Amend Partner Income","tradingOrProfessionalLosses > carryForwardLosses"
"Class 2 and Class 4 National Insurance contributions (NICs)","FPS16.15","If your total profits for 2025–26 are less than £6,845, and you choose to pay Class 2 NICs voluntarily, put ‘X’ in the box","Create or Amend Partner Income","nationalInsuranceContributions > voluntaryClass2Nics"
"Class 2 and Class 4 National Insurance contributions (NICs)","FPS16.16","If you are exempt from paying Class 4 NICs, put ‘X’ in the box","Create or Amend Partner Income","nationalInsuranceContributions > class4Exemption"
"Class 2 and Class 4 National Insurance contributions (NICs)","FPS16.17","Adjustment to profits chargeable to Class 4 NICs","Create or Amend Partner Income","nationalInsuranceContributions > adjustmentToProfitsForClass4"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.18","Share of UK untaxed savings income – from box 13 on the Partnership Statement","Create or Amend Partner Income","untaxedSavingsIncome > shareOfUkUntaxedSavingsIncome"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.19","Adjustment to untaxed savings income including adjustment for the tax year","Create or Amend Partner Income","untaxedSavingsIncome > untaxedSavingsIncomeAdjustment"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.20","Adjusted UK savings income (box 28 + box 29)","Create or Amend Partner Income","untaxedSavingsIncome > adjustedUkSavingsIncome"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.21","Share of foreign untaxed savings income – from box 14 on the Partnership Statement","Create or Amend Partner Income","untaxedSavingsIncome > shareOfForeignUntaxedSavingsIncome"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.22","Adjustment to foreign savings income in box 31 including adjustment for the tax year","Create or Amend Partner Income","untaxedSavingsIncome > foreignUntaxedSavingsIncomeAdjustment"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.23","Total foreign tax taken off – only if Foreign Tax Credit Relief is not being claimed on the ‘Foreign’ pages","Create or Amend Partner Income","untaxedSavingsIncome > totalForeignTaxTakenOff"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.24","Adjusted foreign savings income (box 31 + box 32 minus box 33)","Create or Amend Partner Income","untaxedSavingsIncome > adjustedForeignSavingsIncome"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.25","Total untaxed savings income taxable at 20% (box 30 + box 34)","Create or Amend Partner Income","untaxedSavingsIncome > totalUntaxedSavingsIncome"
"Your share of the partnership’s untaxed income (Untaxxed savings income)","FPS16.26","Amount claimed under the foreign income and gains (FIG) regime","Not available","Not available"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.27","Share of profit or loss for 2025–26 from UK property – from box 19 on the Partnership Statement","Create or Amend Partner Income","ukPropertyIncome > shareOfProfitOrLoss"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.28","Adjustment to profit or loss from UK property in box 36 including adjustment for the tax year","Create or Amend Partner Income","ukPropertyIncome > profitOrLossAdjustment"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.29","Losses brought forward from earlier years set off against profits (up to the amount in box 36 + box 37)","Create or Amend Partner Income","ukPropertyIncome > lossesBroughtForward"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.30","Loss set off against 2025–26 total income – this will be unusual","Create or Amend Partner Income","ukPropertyIncome > otherUntaxedUkIncomeLossAdjustment"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.31","Loss to be carried forward after any set-offs – including unused losses brought forward","Create or Amend Partner Income","ukPropertyIncome > carryForwardLosses"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.32","Taxable profit after adjustments and losses (if box 36 + box 37 minus box 38 is positive or zero)","Create or Amend Partner Income","ukPropertyIncome > shareOfTaxableProfit "
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.33","Residential property finance costs – from box 26 on the Partnership Statement","Create or Amend Partner Income","ukPropertyIncome > residentialPropertyFinanceCosts"
"Your share of the partnership’s untaxed income (Income from UK property)","FPS16.34","Unused residential property finance costs brought forward","Create or Amend Partner Income","ukPropertyIncome > residentialPropertyFinanceCostsBroughtForward"
"Your share of the partnership’s untaxed income (Income from UK property)","BOX 42 NOT IN USE","","",""
"Your share of the partnership’s untaxed income (Income from UK property)","BOX 43 NOT IN USE","","",""
"Your share of the partnership’s untaxed income (Income from UK property)","BOX 44 NOT IN USE","","",""
"Your share of the partnership’s untaxed income (Other untaxed UK income)","FPS45","Share of other untaxed UK income – from box 15 on the Partnership Statement","Create or Amend Partner Income","otherUntaxedUkIncome > shareOfOtherUntaxedUkIncome"
"Your share of the partnership’s untaxed income (Other untaxed UK income)","FPS46","Adjustment to other untaxed UK income in box 45 including adjustment for the tax year","Create or Amend Partner Income","otherUntaxedUkIncome > otherUntaxedUkIncomeAdjustment"
