"Section Heading","Box number","Box name","API","Endpoint","Path","Data Item"
"Unremittable Income","FOR1","If you were unable to transfer any of your overseas income to the UK, put 'X' in the box – and give details in the ‘Any other information’ box on your tax return or on a separate sheet","Individuals Foreign Income","Create and Amend Foreign Income","unremittableForeignIncome","unremittableForeignIncome"
"Foreign Tax Credit Relief","FOR2","If you're calculating your tax, enter the total Foreign Tax Credit Relief on your income","Individuals Reliefs","Create and Amend Foreign Reliefs","foreignTaxCreditRelief > amount",""
"Income From Overseas Sources Interest and other","FOR4A","Country or territory code","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > countryCode","countryCode"
"Income From Overseas Sources Interest and other","FOR4B","Amount of income arising or received before any tax taken off","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > amountBeforeTax","amountBeforeTax"
"Income From Overseas Sources Interest and other","FOR4C","Foreign tax taken off or paid","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > taxTakenOff","taxTakenOff"
"Income From Overseas Sources Interest and other","FOR4D","Special Withholding Tax and any UK tax taken off","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > specialWithholdingTax","specialWithholdingTax"
"Income From Overseas Sources Interest and other","FOR4E","To claim Foreign Tax Credit Relief, put 'X' in the box","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > foreignTaxCreditRelief","foreignTaxCreditRelief"
"Income From Overseas Sources Interest and other","FOR4F","Taxable amount","Individuals Savings Income","Create and Amend Savings Income","foreignInterest > taxableAmount","taxableAmount"
"Income From Overseas Sources Interest and other","FOR3","Total of column above","Not available. Calculated by HMRC","","",""
"Income From Overseas Sources Interest and other","FOR4","Total of column above","Not available. Calculated by HMRC","","",""
"Income From Overseas Sources Dividends","FOR6A","Country or territory code","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend >  countryCode","countryCode"
"Income From Overseas Sources Dividends","FOR6B","Amount of income arising or received before any tax taken off","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > amountBeforeTax","amountBeforeTax"
"Income From Overseas Sources Dividends","FOR6C","Foreign tax taken off or paid","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > taxTakenOff","taxTakenOff"
"Income From Overseas Sources Dividends","FOR6D","Special Withholding Tax and any UK tax taken off","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > specialWithholdingTax","specialWithholdingTax"
"Income From Overseas Sources Dividends","FOR6E","To claim Foreign Tax Credit Relief, put 'X' in the box","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > foreignTaxCreditRelief","foreignTaxCreditRelief"
"Income From Overseas Sources Dividends","FOR6F","Taxable amount","Individuals Dividends Income","Create and Amend Dividends Income","foreignDividend > taxableAmount","taxableAmount"
"Income From Overseas Sources Dividends","FOR5","Total of column above","Not available. Calculated by HMRC","","",""
"Income From Overseas Sources Dividends","FOR6","Total of column above","Not available. Calculated by HMRC","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2A","Country or territory code","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2B","Amount of income arising or received before any tax taken off","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2C","Foreign tax taken off or paid","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2D","Special Withholding Tax and any UK tax taken off","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2E","To claim Foreign Tax Credit Relief, put 'X' in the box","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Savings","FOR7.2F","Taxable amount","Not available","","",""
"Income From Overseas Sources","FOR7.1","Total of column above","Not available","","",""
"Income From Overseas Sources","FOR7.2","Total of column above","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4A","Country or territory code","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4B","Amount of income arising or received before any tax taken off","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4C","Foreign tax taken off or paid","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4D","Special Withholding Tax and any UK tax taken off","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4E","To claim Foreign Tax Credit Relief, put 'X' in the box","Not available","","",""
"Income From Overseas Sources - Remitted Foreign Dividend Inc","FOR7.4F","Taxable amount","Not available","","",""
