"Section Heading ","Box number","Box name","API ","Endpoints","Commments"
"Income from trusts and settlements (Discretionary)","TRU1","Net amount ","","",""
"Income from trusts and settlements (Discretionary)","TRU2","Total payments from settlor-interested trusts ","","",""
"Income from trusts and settlements (Non-discretionary)","TRU3","Net amount of non-savings income ","","",""
"Income from trusts and settlements (Non-discretionary)","TRU4","Net amount of savings income","","",""
"Income from trusts and settlements (Non-discretionary)","TRU5","Net amount of dividend income ","","",""
"Income from trusts and settlements (Non-discretionary)","TRU6","If you’ve included in your tax return income from trusts or settlements whose trustees are not resident  in the UK for tax purposes, put ‘X’ in the box ","","",""
"Income chargeable on settlors","TRU7","Net amount of non-savings income taxed at basic rate ","","",""
"Income chargeable on settlors","TRU8","Net amount of savings income taxed at basic rate ","","",""
"Income chargeable on settlors","TRU9","Net amount of dividend income taxed at dividend rate ","","",""
"Income chargeable on settlors","TRU10","Net amount of non-savings income taxed at trust rate","","",""
"Income chargeable on settlors","TRU11","Net amount of savings income taxed at trust rate ","","",""
"Income chargeable on settlors","TRU12","Net amount of dividend income taxed at dividend trust rate ","","",""
"Income chargeable on settlors","TRU13","Non-savings income paid gross ","","",""
"Income chargeable on settlors","TRU14","Savings income paid gross","","",""
"Income chargeable on settlors","TRU15","Additional tax paid by the trustees on certain UK life insurance policy gains","","",""
"Income from the estates of deceased persons (UK)","TRU16","Non-savings income ","","",""
"Income from the estates of deceased persons (UK)","TRU17","Savings income ","","",""
"Income from the estates of deceased persons (UK)","TRU18","Dividend income ","","",""
"Income from the estates of deceased persons (UK)","TRU19","Dividend income that has been taxed at 7.5%","","",""
"Income from the estates of deceased persons (UK)","TRU20","Non-savings income taxed at non-repayable basic rate ","","",""
"Income from the estates of deceased persons (UK)","TRU21","NOT IN USE ","","",""
"Income from the estates of deceased persons (UK)","TRU22","NOT IN USE ","","",""
"Income from the estates of deceased persons (Foreign)","TRU23","Foreign estate income","","",""
"Income from the estates of deceased persons (Foreign)","TRU24","Amount claimed under the foreign income and gains (FIG) regime","","",""
"Income from the estates of deceased persons (Foreign)","TRU25","Relief for UK tax already accounted for","","",""
"Income from the estates of deceased persons (Foreign tax paid on estate income)","TRU26","Foreign tax for which Foreign Tax Credit Relief has not been claimed","","",""
"Residential property income","TRU27","Amount of residential property income or restricted finance costs from trusts and estates for calculating relief for residential finance costs","","",""
"Residential property income","TRU28","Unused residential property finance costs brought forward","","",""
"Any other information","TRU29","Please give any other information in this space","","",
