"Section heading","Box number","Box name","API","Endpoint","Path"
"Other UK Income (Interest etc)","AOI1","Gilt etc interest after tax taken off","Individuals Savings Income","Create and Amend Savings Income","securities > netAmount"
"Other UK Income (Interest etc)","AOI2","Tax taken off","Individuals Savings Income","Create and Amend Savings Income","securities > taxTakenOff"
"Other UK Income (Interest etc)","AOI3","Gross amount before tax","Individuals Savings Income","Create and Amend Savings Income","securities > grossAmount"
"Other UK Income (Gains etc)","AOI4","UK policy or contract gains on which tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > gainAmount | lifeInsurance > taxPaid > ""true"""
"Other UK Income (Gains etc)","AOI4","UK policy or contract gains on which tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > gainAmount | capitalRedemption > taxPaid > ""true"""
"Other UK Income (Gains etc)","AOI4","UK policy or contract gains on which tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > gainAmount | lifeAnnuity > taxPaid > ""true"""
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > yearsHeld"
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > yearsHeld"
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > yearsHeld"
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > yearsHeldSinceLastGain"
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > yearsHeldSinceLastGain"
"Other UK Income (Gains etc)","AOI5","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > yearsHeldSinceLastGain"
"Other UK Income (Gains etc)","AOI6","UK policy or contract gains where no tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > gainAmount | lifeInsurance > taxPaid > ""false"""
"Other UK Income (Gains etc)","AOI6","UK policy or contract gains where no tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > gainAmount | capitalRedemption > taxPaid > ""false"""
"Other UK Income (Gains etc)","AOI6","UK policy or contract gains where no tax was treated as paid","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > gainAmount | lifeAnnuity > taxPaid > ""false"""
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > yearsHeld"
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > yearsHeld"
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > yearsHeld"
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeInsurance > yearsHeldSinceLastGain"
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","capitalRedemption > yearsHeldSinceLastGain"
"Other UK Income (Gains etc)","AOI7","Number of years the policy has been held or since the last gain","Individuals Insurance Policies Income","Create and Amend Insurance Policies Income","lifeAnnuity > yearsHeldSinceLastGain"
