"Section Heading","Box number","Box name","API","Endpoint","Path","","","",""
"UK Property Details","PRO1","Number of properties rented out","Not available","","","","","",""
"UK Property Details","PRO2","If all property income ceased in 2022-23 and you do not expect to receive such income in 2023-24, put 'X' in the box and consider if you need to fill in the 'Capital Gains Tax summary' page","Not available","","","","","",""
"UK Property Details","PRO3","If you have any income from property let jointly, put 'X' in the box","Not available","","","","","",""
"UK Property Details","PRO4","If you're claiming Rent a Room relief and your rents are ??7,500 or less (or ??3,750 if let jointly), put 'X' in the box","Not available","","","","","",""
"Furnished Holiday Lettings (UK)","PRO5","Income - the amount of rent and any income for services provided to tenants","Property Business","Create a UK Property Income & Expenses Period Summary","ukFhlProperty > income > periodAmount | ukFHLProperty > income > rentARoom > rentsReceived","","","",""
"Furnished Holiday Lettings (EEA)","PRO5","Income - the amount of rent and any income for services provided to tenants","Property Business","Create a Foreign Property Income & Expenses Period Summary","foreignFhlEea > income > rentAmount","","","",""
"Furnished Holiday Lettings (UK)","PRO5.1","Property income allowance","Property Business","Create and Amend a UK Property Business Annual Submission","ukFhlProperty > allowances > propertyIncomeAllowance","","","",""
"Furnished Holiday Lettings (EEA)","PRO5.1","Property income allowance","Property Business","Create and Amend a Foreign Property Annual Submission","foreignFhlEea > allowances > propertyIncomeAllowance","","","",""
"Furnished Holiday Lettings (UK)","PRO5.2","If you've used traditional accounting rather than cash basis to calculate your income and expenses, put 'X' in the box","Not available","","","","","",""
"Furnished Holiday Lettings (EEA)","PRO5.2","If you've used traditional accounting rather than cash basis to calculate your income and expenses, put 'X' in the box","Not available","","","","","",""
"Furnished Holiday Lettings (UK)","PRO6","Rent paid, repairs, insurance and costs of services provided","Property Business","Create a UK Property Income & Expenses Period Summary","ukFhlProperty > expenses > premisesRunningCosts | ukFhlProperty > expenses > repairsAndMaintenance | ukFhlProperty > expenses > costOfServices","","","",""
"Furnished Holiday Lettings (EEA)","PRO6","Rent paid, repairs, insurance and costs of services provided","Property Business","Create a Foreign Property Income & Expenses Period Summary","foreignFhlEea > expenses > premisesRunningCosts | foreignFhlEea > expenses > repairsAndMaintenance | foreignFhlEea > expenses > costOfServices        ","","","",""
"Furnished Holiday Lettings (UK)","PRO7","Loan interest and other financial costs","Property Business","Create a UK Property Income & Expenses Period Summary","ukFhlProperty > expenses > financialCosts","","","",""
"Furnished Holiday Lettings (EEA)","PRO7","Loan interest and other financial costs","Property Business","Create a Foreign Property Income & Expenses Period Summary","foreignFhlEea > expenses > financialCosts","","","",""
"Furnished Holiday Lettings (UK)","PRO8","Legal, management and other professional fees","Property Business","Create a UK Property Income & Expenses Period Summary","ukFhlProperty > expenses > professionalFees","","","",""
"Furnished Holiday Lettings (EEA)","PRO8","Legal, management and other professional fees","Property Business","Create a Foreign Property Income & Expenses Period Summary","foreignFhlEea > expenses > professionalFees","","","",""
"Furnished Holiday Lettings (UK)","PRO9","Other allowable property expenses","Property Business","Create a UK Property Income & Expenses Period Summary","ukFhlProperty > expenses > consolidatedExpenses OR ukFhlProperty > expenses > other | ukFhlProperty > expenses > travelCosts","","","",""
