"Section Heading","Box number","Box name","API","Endpoint","Path"
"Personal Details","CGT1","Your name","Not available","",""
"Personal Details","CGT2","Your Unique Taxpayer Reference (UTR)","Not available","",""
"Residential Property and Other Interest","CGT3","Number of disposals","Not available","",""
"Residential Property and Other Interest","CGT4","Disposal proceeds","Individuals Capital Gains Income","Create and Amend CGT Residential Property Disposals (non-PPD)","disposals > disposalProceeds"
"Residential Property and Other Interest","CGT5","Allowable costs (including purchase price)","Individuals Capital Gains Income","Create and Amend CGT Residential Property Disposals (non-PPD)","disposals > improvementCosts | disposals > additionalCosts | disposals > acquisitionAmount"
"Residential Property and Other Interest","CGT6","Gains in the year, before losses","Not available","",""
"Residential Property and Other Interest","CGT7"," Losses in the year","Individuals Capital Gains Income","Create and Amend CGT Residential Property Disposals (non-PPD)","disposals > lossesFromThisYear"
"Residential Property and Other Interest","CGT8","If you're making any claim or election, put the relevant code in the box","Not available","",""
"Residential Property and Other Interest","CGT9","Total gains or losses on UK residential property reported on Capital Gains Tax UK Property Disposal returns","Not available. Already populated by HMRC. ","",""
"Residential Property and Other Interest","CGT10","Tax on gains in box 9 already charged","Not available. Already populated by HMRC. ","",""
"Residential Property and Other Interest","CGT11","Total gains or losses on non-UK residential property or carried interest reported on Real Time Transaction returns","No longer required as each gain is reported separately in MTD","",""
"Residential Property and Other Interest","CGT12","Tax on gains in box 11 already paid","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","nonStandardGains > carriedInterestRttTaxPaid"
"Residential Property and Other Interest","CGT13","Carried interest","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","nonStandardGains > carriedInterestGain"
"Other Property, assets and gains","CGT14","Number of disposals","No longer required as each gain is reported separately in MTD","",""
"Other Property, assets and gains","CGT15","Disposal proceeds","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset"" | disposals > disposalProceeds"
"Other Property, assets and gains","CGT16","Allowable costs (including purchase price)","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset""  | disposals > allowableCosts"
"Other Property, assets and gains","CGT17","Gains in the year, before losses","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset"" | disposals > gainAfterRelief"
"Other Property, assets and gains","CGT18","Attributed gains where personal losses cannot be set off","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset""  | nonStandardGains > attributedGains"
"Other Property, assets and gains","CGT19","Losses in the year","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset"" | disposals > lossAfterRelief"
"Other Property, assets and gains","CGT20","If you're making any claim or election, put the relevant code in the box","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset""  | disposals > claimOrElectionCodes"
"Other Property, assets and gains","CGT21","Total gains or losses on the disposal of an asset of this type reported on Real Time Transaction returns","No longer required as each gain is reported separately in MTD","",""
"Other Property, assets and gains","CGT22","Tax on gains in box 21 already paid","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""otherProperty"" OR ""otherAsset""  | disposals > rttTaxPaid | nonStandardGains > attributedGainsRttTaxPaid | nonStandardGains > otherGainsRttTaxPaid"
"Listed Shares and Securities","CGT23","Number of disposals","No longer required as each gain is reported separately in MTD","",""
"Listed Shares and Securities","CGT24","Disposal proceeds","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > disposalProceeds"
"Listed Shares and Securities","CGT25","Allowable costs (including purchase price)","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > allowableCosts"
"Listed Shares and Securities","CGT26","Gains in the year, before losses","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > gainAfterRelief"
"Listed Shares and Securities","CGT27","Losses in the year","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > lossAfterRelief"
"Listed Shares and Securities","CGT28","If you're making any claim or election, put the relevant code in the box","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > claimOrElectionCodes"
"Listed Shares and Securities","CGT29","Total gains or losses on the disposal of an asset of this type reported on Real Time Transaction returns","No longer required as each gain is reported separately in MTD","",""
"Listed Shares and Securities","CGT30","Tax on gains in box 29 already paid","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""listedShares"" | disposals > rttTaxPaid | nonStandardGains > attributedGainsRttTaxPaid | nonStandardGains > otherGainsRttTaxPaid"
"Unlisted Shares and Securities","CGT31","Number of disposals","No longer required as each gain is reported separately in MTD","",""
"Unlisted Shares and Securities","CGT32","Disposal proceeds","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > disposalProceeds"
"Unlisted Shares and Securities","CGT33","Allowable costs (including purchase price)","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > allowableCosts"
"Unlisted Shares and Securities","CGT34","Gains in the year, before losses","Individuals Capital Gains Income","Create and Amend Other Capital Gains and Disposals","assetType = ""unlistedShares"" | disposals > gainAfterRelief"
